mod_value: 1.8000000000000005, TT: 28, h: 8.0, FP: 0, FN: 5, FPR: 0.0, FNR: 0.002777777777777778


mod_value: 1.9000000000000006, TT: 30, h: 1.0, FP: 417, FN: 0, FPR: 0.1880920162381597, FNR: 0.0
mod_value: 1.9000000000000006, TT: 30, h: 1.5, FP: 180, FN: 0, FPR: 0.09090909090909091, FNR: 0.0
mod_value: 1.9000000000000006, TT: 29, h: 2.0, FP: 127, FN: 0, FPR: 0.065905552672548, FNR: 0.0
mod_value: 1.9000000000000006, TT: 29, h: 2.5, FP: 76, FN: 0, FPR: 0.04051172707889126, FNR: 0.0
mod_value: 1.9000000000000006, TT: 29, h: 3.0, FP: 56, FN: 0, FPR: 0.03017241379310345, FNR: 0.0
mod_value: 1.9000000000000006, TT: 29, h: 3.5, FP: 40, FN: 0, FPR: 0.021739130434782608, FNR: 0.0
mod_value: 1.9000000000000006, TT: 30, h: 4.0, FP: 26, FN: 0, FPR: 0.014238773274917854, FNR: 0.0
mod_value: 1.9000000000000006, TT: 28, h: 4.5, FP: 25, FN: 0, FPR: 0.0136986301369863, FNR: 0.0
mod_value: 1.9000000000000006, TT: 28, h: 5.0, FP: 19, FN: 0, FPR: 0.010445299615173173, FNR: 0.0
mod_value: 1.9000000000000006, TT: 28, h: 5.5, FP: 15, FN: 0, FPR: 0.008264462809917356, FNR: 0.0
mod_value: 1.9000000000000006, TT: 28, h: 6.0, FP: 9, FN: 0, FPR: 0.004975124378109453, FNR: 0.0
mod_value: 1.9000000000000006, TT: 28, h: 6.5, FP: 7, FN: 0, FPR: 0.00387382401770891, FNR: 0.0
mod_value: 1.9000000000000006, TT: 28, h: 7.0, FP: 3, FN: 0, FPR: 0.0016638935108153079, FNR: 0.0
mod_value: 1.9000000000000006, TT: 29, h: 7.5, FP: 2, FN: 0, FPR: 0.0011098779134295228, FNR: 0.0
mod_value: 1.9000000000000006, TT: 28, h: 8.0, FP: 0, FN: 0, FPR: 0.0, FNR: 0.0


mod_value: 2.000000000000001, TT: 28, h: 1.0, FP: 417, FN: 0, FPR: 0.1880920162381597, FNR: 0.0
mod_value: 2.000000000000001, TT: 29, h: 1.5, FP: 180, FN: 0, FPR: 0.09090909090909091, FNR: 0.0
mod_value: 2.000000000000001, TT: 28, h: 2.0, FP: 127, FN: 0, FPR: 0.065905552672548, FNR: 0.0
mod_value: 2.000000000000001, TT: 28, h: 2.5, FP: 76, FN: 0, FPR: 0.04051172707889126, FNR: 0.0
mod_value: 2.000000000000001, TT: 28, h: 3.0, FP: 56, FN: 0, FPR: 0.03017241379310345, FNR: 0.0
mod_value: 2.000000000000001, TT: 28, h: 3.5, FP: 40, FN: 0, FPR: 0.021739130434782608, FNR: 0.0
mod_value: 2.000000000000001, TT: 28, h: 4.0, FP: 26, FN: 0, FPR: 0.014238773274917854, FNR: 0.0
mod_value: 2.000000000000001, TT: 29, h: 4.5, FP: 25, FN: 0, FPR: 0.0136986301369863, FNR: 0.0
mod_value: 2.000000000000001, TT: 29, h: 5.0, FP: 19, FN: 0, FPR: 0.010445299615173173, FNR: 0.0
mod_value: 2.000000000000001, TT: 28, h: 5.5, FP: 15, FN: 0, FPR: 0.008264462809917356, FNR: 0.0
mod_value: 2.000000000000001, TT: 28, h: 6.0, FP: 9, FN: 0, FPR: 0.004975124378109453, FNR: 0.0
mod_value: 2.000000000000001, TT: 29, h: 6.5, FP: 7, FN: 0, FPR: 0.00387382401770891, FNR: 0.0
mod_value: 2.000000000000001, TT: 29, h: 7.0, FP: 3, FN: 0, FPR: 0.0016638935108153079, FNR: 0.0
mod_value: 2.000000000000001, TT: 25, h: 7.5, FP: 2, FN: 0, FPR: 0.0011098779134295228, FNR: 0.0
mod_value: 2.000000000000001, TT: 29, h: 8.0, FP: 0, FN: 0, FPR: 0.0, FNR: 0.0


mod_value: 2.1000000000000005, TT: 31, h: 1.0, FP: 417, FN: 0, FPR: 0.1880920162381597, FNR: 0.0
mod_value: 2.1000000000000005, TT: 28, h: 1.5, FP: 180, FN: 0, FPR: 0.09090909090909091, FNR: 0.0
mod_value: 2.1000000000000005, TT: 29, h: 2.0, FP: 127, FN: 0, FPR: 0.065905552672548, FNR: 0.0
mod_value: 2.1000000000000005, TT: 29, h: 2.5, FP: 76, FN: 0, FPR: 0.04051172707889126, FNR: 0.0
mod_value: 2.1000000000000005, TT: 30, h: 3.0, FP: 56, FN: 0, FPR: 0.03017241379310345, FNR: 0.0
mod_value: 2.1000000000000005, TT: 29, h: 3.5, FP: 40, FN: 0, FPR: 0.021739130434782608, FNR: 0.0
mod_value: 2.1000000000000005, TT: 29, h: 4.0, FP: 26, FN: 0, FPR: 0.014238773274917854, FNR: 0.0
mod_value: 2.1000000000000005, TT: 28, h: 4.5, FP: 25, FN: 0, FPR: 0.0136986301369863, FNR: 0.0
mod_value: 2.1000000000000005, TT: 28, h: 5.0, FP: 19, FN: 0, FPR: 0.010445299615173173, FNR: 0.0
mod_value: 2.1000000000000005, TT: 28, h: 5.5, FP: 15, FN: 0, FPR: 0.008264462809917356, FNR: 0.0
mod_value: 2.1000000000000005, TT: 28, h: 6.0, FP: 9, FN: 0, FPR: 0.004975124378109453, FNR: 0.0
mod_value: 2.1000000000000005, TT: 28, h: 6.5, FP: 7, FN: 0, FPR: 0.00387382401770891, FNR: 0.0
mod_value: 2.1000000000000005, TT: 28, h: 7.0, FP: 3, FN: 0, FPR: 0.0016638935108153079, FNR: 0.0
mod_value: 2.1000000000000005, TT: 28, h: 7.5, FP: 2, FN: 0, FPR: 0.0011098779134295228, FNR: 0.0
mod_value: 2.1000000000000005, TT: 29, h: 8.0, FP: 0, FN: 0, FPR: 0.0, FNR: 0.0


mod_value: 2.200000000000001, TT: 30, h: 1.0, FP: 417, FN: 0, FPR: 0.1880920162381597, FNR: 0.0
mod_value: 2.200000000000001, TT: 29, h: 1.5, FP: 180, FN: 0, FPR: 0.09090909090909091, FNR: 0.0
mod_value: 2.200000000000001, TT: 29, h: 2.0, FP: 127, FN: 0, FPR: 0.065905552672548, FNR: 0.0
mod_value: 2.200000000000001, TT: 25, h: 2.5, FP: 76, FN: 0, FPR: 0.04051172707889126, FNR: 0.0
mod_value: 2.200000000000001, TT: 26, h: 3.0, FP: 56, FN: 0, FPR: 0.03017241379310345, FNR: 0.0
mod_value: 2.200000000000001, TT: 23, h: 3.5, FP: 40, FN: 0, FPR: 0.021739130434782608, FNR: 0.0
mod_value: 2.200000000000001, TT: 23, h: 4.0, FP: 26, FN: 0, FPR: 0.014238773274917854, FNR: 0.0
mod_value: 2.200000000000001, TT: 22, h: 4.5, FP: 25, FN: 0, FPR: 0.0136986301369863, FNR: 0.0
mod_value: 2.200000000000001, TT: 27, h: 5.0, FP: 19, FN: 0, FPR: 0.010445299615173173, FNR: 0.0
mod_value: 2.200000000000001, TT: 24, h: 5.5, FP: 15, FN: 0, FPR: 0.008264462809917356, FNR: 0.0
mod_value: 2.200000000000001, TT: 24, h: 6.0, FP: 9, FN: 0, FPR: 0.004975124378109453, FNR: 0.0
mod_value: 2.200000000000001, TT: 24, h: 6.5, FP: 7, FN: 0, FPR: 0.00387382401770891, FNR: 0.0
mod_value: 2.200000000000001, TT: 23, h: 7.0, FP: 3, FN: 0, FPR: 0.0016638935108153079, FNR: 0.0
mod_value: 2.200000000000001, TT: 22, h: 7.5, FP: 2, FN: 0, FPR: 0.0011098779134295228, FNR: 0.0
mod_value: 2.200000000000001, TT: 22, h: 8.0, FP: 0, FN: 0, FPR: 0.0, FNR: 0.0


mod_value: 2.3000000000000007, TT: 22, h: 1.0, FP: 417, FN: 0, FPR: 0.1880920162381597, FNR: 0.0
mod_value: 2.3000000000000007, TT: 22, h: 1.5, FP: 180, FN: 0, FPR: 0.09090909090909091, FNR: 0.0
mod_value: 2.3000000000000007, TT: 22, h: 2.0, FP: 127, FN: 0, FPR: 0.065905552672548, FNR: 0.0
mod_value: 2.3000000000000007, TT: 22, h: 2.5, FP: 76, FN: 0, FPR: 0.04051172707889126, FNR: 0.0
mod_value: 2.3000000000000007, TT: 22, h: 3.0, FP: 56, FN: 0, FPR: 0.03017241379310345, FNR: 0.0
mod_value: 2.3000000000000007, TT: 22, h: 3.5, FP: 40, FN: 0, FPR: 0.021739130434782608, FNR: 0.0
mod_value: 2.3000000000000007, TT: 22, h: 4.0, FP: 26, FN: 0, FPR: 0.014238773274917854, FNR: 0.0
mod_value: 2.3000000000000007, TT: 22, h: 4.5, FP: 25, FN: 0, FPR: 0.0136986301369863, FNR: 0.0
mod_value: 2.3000000000000007, TT: 23, h: 5.0, FP: 19, FN: 0, FPR: 0.010445299615173173, FNR: 0.0
mod_value: 2.3000000000000007, TT: 22, h: 5.5, FP: 15, FN: 0, FPR: 0.008264462809917356, FNR: 0.0
mod_value: 2.3000000000000007, TT: 22, h: 6.0, FP: 9, FN: 0, FPR: 0.004975124378109453, FNR: 0.0
mod_value: 2.3000000000000007, TT: 22, h: 6.5, FP: 7, FN: 0, FPR: 0.00387382401770891, FNR: 0.0
mod_value: 2.3000000000000007, TT: 23, h: 7.0, FP: 3, FN: 0, FPR: 0.0016638935108153079, FNR: 0.0
mod_value: 2.3000000000000007, TT: 23, h: 7.5, FP: 2, FN: 0, FPR: 0.0011098779134295228, FNR: 0.0
mod_value: 2.3000000000000007, TT: 23, h: 8.0, FP: 0, FN: 0, FPR: 0.0, FNR: 0.0


mod_value: 2.4000000000000012, TT: 23, h: 1.0, FP: 417, FN: 0, FPR: 0.1880920162381597, FNR: 0.0
mod_value: 2.4000000000000012, TT: 22, h: 1.5, FP: 180, FN: 0, FPR: 0.09090909090909091, FNR: 0.0
mod_value: 2.4000000000000012, TT: 22, h: 2.0, FP: 127, FN: 0, FPR: 0.065905552672548, FNR: 0.0
mod_value: 2.4000000000000012, TT: 22, h: 2.5, FP: 76, FN: 0, FPR: 0.04051172707889126, FNR: 0.0
mod_value: 2.4000000000000012, TT: 22, h: 3.0, FP: 56, FN: 0, FPR: 0.03017241379310345, FNR: 0.0
mod_value: 2.4000000000000012, TT: 22, h: 3.5, FP: 40, FN: 0, FPR: 0.021739130434782608, FNR: 0.0
mod_value: 2.4000000000000012, TT: 22, h: 4.0, FP: 26, FN: 0, FPR: 0.014238773274917854, FNR: 0.0
mod_value: 2.4000000000000012, TT: 22, h: 4.5, FP: 25, FN: 0, FPR: 0.0136986301369863, FNR: 0.0
mod_value: 2.4000000000000012, TT: 22, h: 5.0, FP: 19, FN: 0, FPR: 0.010445299615173173, FNR: 0.0
mod_value: 2.4000000000000012, TT: 22, h: 5.5, FP: 15, FN: 0, FPR: 0.008264462809917356, FNR: 0.0
mod_value: 2.4000000000000012, TT: 22, h: 6.0, FP: 9, FN: 0, FPR: 0.004975124378109453, FNR: 0.0
mod_value: 2.4000000000000012, TT: 22, h: 6.5, FP: 7, FN: 0, FPR: 0.00387382401770891, FNR: 0.0
mod_value: 2.4000000000000012, TT: 22, h: 7.0, FP: 3, FN: 0, FPR: 0.0016638935108153079, FNR: 0.0
mod_value: 2.4000000000000012, TT: 22, h: 7.5, FP: 2, FN: 0, FPR: 0.0011098779134295228, FNR: 0.0
mod_value: 2.4000000000000012, TT: 22, h: 8.0, FP: 0, FN: 0, FPR: 0.0, FNR: 0.0


mod_value: 2.500000000000001, TT: 22, h: 1.0, FP: 417, FN: 0, FPR: 0.1880920162381597, FNR: 0.0
mod_value: 2.500000000000001, TT: 22, h: 1.5, FP: 180, FN: 0, FPR: 0.09090909090909091, FNR: 0.0
mod_value: 2.500000000000001, TT: 22, h: 2.0, FP: 127, FN: 0, FPR: 0.065905552672548, FNR: 0.0
mod_value: 2.500000000000001, TT: 22, h: 2.5, FP: 76, FN: 0, FPR: 0.04051172707889126, FNR: 0.0
mod_value: 2.500000000000001, TT: 22, h: 3.0, FP: 56, FN: 0, FPR: 0.03017241379310345, FNR: 0.0
mod_value: 2.500000000000001, TT: 22, h: 3.5, FP: 40, FN: 0, FPR: 0.021739130434782608, FNR: 0.0
