mod_value: 2.200000000000001, TT: 0, h: 1.0, FP: 417, FN: 0, FPR: 0.1880920162381597, FNR: 0.0
mod_value: 2.200000000000001, TT: 0, h: 1.5, FP: 179, FN: 0, FPR: 0.09044972208185953, FNR: 0.0
mod_value: 2.200000000000001, TT: 0, h: 2.0, FP: 115, FN: 0, FPR: 0.06005221932114883, FNR: 0.0
mod_value: 2.200000000000001, TT: 0, h: 2.5, FP: 74, FN: 0, FPR: 0.03948772678762007, FNR: 0.0
mod_value: 2.200000000000001, TT: 0, h: 3.0, FP: 50, FN: 0, FPR: 0.02702702702702703, FNR: 0.0
mod_value: 2.200000000000001, TT: 0, h: 3.5, FP: 30, FN: 0, FPR: 0.01639344262295082, FNR: 0.0
mod_value: 2.200000000000001, TT: 0, h: 4.0, FP: 21, FN: 0, FPR: 0.011532125205930808, FNR: 0.0
mod_value: 2.200000000000001, TT: 0, h: 4.5, FP: 19, FN: 0, FPR: 0.010445299615173173, FNR: 0.0
mod_value: 2.200000000000001, TT: 0, h: 5.0, FP: 16, FN: 0, FPR: 0.00881057268722467, FNR: 0.0
mod_value: 2.200000000000001, TT: 0, h: 5.5, FP: 11, FN: 0, FPR: 0.006073992269464384, FNR: 0.0
mod_value: 2.200000000000001, TT: 0, h: 6.0, FP: 9, FN: 0, FPR: 0.004975124378109453, FNR: 0.0
mod_value: 2.200000000000001, TT: 0, h: 6.5, FP: 6, FN: 0, FPR: 0.0033222591362126247, FNR: 0.0
mod_value: 2.200000000000001, TT: 0, h: 7.0, FP: 2, FN: 0, FPR: 0.0011098779134295228, FNR: 0.0
mod_value: 2.200000000000001, TT: 0, h: 7.5, FP: 2, FN: 0, FPR: 0.0011098779134295228, FNR: 0.0
mod_value: 2.200000000000001, TT: 0, h: 8.0, FP: 1, FN: 0, FPR: 0.000555247084952804, FNR: 0.0
{}


mod_value: 2.3000000000000007, TT: 0, h: 1.0, FP: 417, FN: 0, FPR: 0.1880920162381597, FNR: 0.0
mod_value: 2.3000000000000007, TT: 0, h: 1.5, FP: 179, FN: 0, FPR: 0.09044972208185953, FNR: 0.0
mod_value: 2.3000000000000007, TT: 0, h: 2.0, FP: 115, FN: 0, FPR: 0.06005221932114883, FNR: 0.0
mod_value: 2.3000000000000007, TT: 0, h: 2.5, FP: 74, FN: 0, FPR: 0.03948772678762007, FNR: 0.0
mod_value: 2.3000000000000007, TT: 0, h: 3.0, FP: 50, FN: 0, FPR: 0.02702702702702703, FNR: 0.0
mod_value: 2.3000000000000007, TT: 0, h: 3.5, FP: 30, FN: 0, FPR: 0.01639344262295082, FNR: 0.0
mod_value: 2.3000000000000007, TT: 0, h: 4.0, FP: 21, FN: 0, FPR: 0.011532125205930808, FNR: 0.0
mod_value: 2.3000000000000007, TT: 0, h: 4.5, FP: 19, FN: 0, FPR: 0.010445299615173173, FNR: 0.0
mod_value: 2.3000000000000007, TT: 0, h: 5.0, FP: 16, FN: 0, FPR: 0.00881057268722467, FNR: 0.0
mod_value: 2.3000000000000007, TT: 0, h: 5.5, FP: 11, FN: 0, FPR: 0.006073992269464384, FNR: 0.0
mod_value: 2.3000000000000007, TT: 0, h: 6.0, FP: 9, FN: 0, FPR: 0.004975124378109453, FNR: 0.0
mod_value: 2.3000000000000007, TT: 0, h: 6.5, FP: 6, FN: 0, FPR: 0.0033222591362126247, FNR: 0.0
mod_value: 2.3000000000000007, TT: 0, h: 7.0, FP: 2, FN: 0, FPR: 0.0011098779134295228, FNR: 0.0
mod_value: 2.3000000000000007, TT: 0, h: 7.5, FP: 2, FN: 0, FPR: 0.0011098779134295228, FNR: 0.0
mod_value: 2.3000000000000007, TT: 0, h: 8.0, FP: 1, FN: 0, FPR: 0.000555247084952804, FNR: 0.0
{}


mod_value: 2.4000000000000012, TT: 0, h: 1.0, FP: 417, FN: 0, FPR: 0.1880920162381597, FNR: 0.0
mod_value: 2.4000000000000012, TT: 0, h: 1.5, FP: 179, FN: 0, FPR: 0.09044972208185953, FNR: 0.0
mod_value: 2.4000000000000012, TT: 0, h: 2.0, FP: 115, FN: 0, FPR: 0.06005221932114883, FNR: 0.0
mod_value: 2.4000000000000012, TT: 0, h: 2.5, FP: 74, FN: 0, FPR: 0.03948772678762007, FNR: 0.0
mod_value: 2.4000000000000012, TT: 0, h: 3.0, FP: 50, FN: 0, FPR: 0.02702702702702703, FNR: 0.0
mod_value: 2.4000000000000012, TT: 0, h: 3.5, FP: 30, FN: 0, FPR: 0.01639344262295082, FNR: 0.0
mod_value: 2.4000000000000012, TT: 0, h: 4.0, FP: 21, FN: 0, FPR: 0.011532125205930808, FNR: 0.0
mod_value: 2.4000000000000012, TT: 0, h: 4.5, FP: 19, FN: 0, FPR: 0.010445299615173173, FNR: 0.0
mod_value: 2.4000000000000012, TT: 0, h: 5.0, FP: 16, FN: 0, FPR: 0.00881057268722467, FNR: 0.0
mod_value: 2.4000000000000012, TT: 0, h: 5.5, FP: 11, FN: 0, FPR: 0.006073992269464384, FNR: 0.0
mod_value: 2.4000000000000012, TT: 0, h: 6.0, FP: 9, FN: 0, FPR: 0.004975124378109453, FNR: 0.0
mod_value: 2.4000000000000012, TT: 0, h: 6.5, FP: 6, FN: 0, FPR: 0.0033222591362126247, FNR: 0.0
mod_value: 2.4000000000000012, TT: 0, h: 7.0, FP: 2, FN: 0, FPR: 0.0011098779134295228, FNR: 0.0
mod_value: 2.4000000000000012, TT: 0, h: 7.5, FP: 2, FN: 0, FPR: 0.0011098779134295228, FNR: 0.0
mod_value: 2.4000000000000012, TT: 0, h: 8.0, FP: 1, FN: 0, FPR: 0.000555247084952804, FNR: 0.0
{}


mod_value: 2.500000000000001, TT: 0, h: 1.0, FP: 417, FN: 0, FPR: 0.1880920162381597, FNR: 0.0
mod_value: 2.500000000000001, TT: 0, h: 1.5, FP: 179, FN: 0, FPR: 0.09044972208185953, FNR: 0.0
mod_value: 2.500000000000001, TT: 0, h: 2.0, FP: 115, FN: 0, FPR: 0.06005221932114883, FNR: 0.0
mod_value: 2.500000000000001, TT: 0, h: 2.5, FP: 74, FN: 0, FPR: 0.03948772678762007, FNR: 0.0
mod_value: 2.500000000000001, TT: 0, h: 3.0, FP: 50, FN: 0, FPR: 0.02702702702702703, FNR: 0.0
mod_value: 2.500000000000001, TT: 0, h: 3.5, FP: 30, FN: 0, FPR: 0.01639344262295082, FNR: 0.0
mod_value: 2.500000000000001, TT: 0, h: 4.0, FP: 21, FN: 0, FPR: 0.011532125205930808, FNR: 0.0
mod_value: 2.500000000000001, TT: 0, h: 4.5, FP: 19, FN: 0, FPR: 0.010445299615173173, FNR: 0.0
mod_value: 2.500000000000001, TT: 0, h: 5.0, FP: 16, FN: 0, FPR: 0.00881057268722467, FNR: 0.0
mod_value: 2.500000000000001, TT: 0, h: 5.5, FP: 11, FN: 0, FPR: 0.006073992269464384, FNR: 0.0
mod_value: 2.500000000000001, TT: 0, h: 6.0, FP: 9, FN: 0, FPR: 0.004975124378109453, FNR: 0.0
mod_value: 2.500000000000001, TT: 0, h: 6.5, FP: 6, FN: 0, FPR: 0.0033222591362126247, FNR: 0.0
mod_value: 2.500000000000001, TT: 0, h: 7.0, FP: 2, FN: 0, FPR: 0.0011098779134295228, FNR: 0.0
mod_value: 2.500000000000001, TT: 0, h: 7.5, FP: 2, FN: 0, FPR: 0.0011098779134295228, FNR: 0.0
mod_value: 2.500000000000001, TT: 0, h: 8.0, FP: 1, FN: 0, FPR: 0.000555247084952804, FNR: 0.0
{}


mod_value: 2.6000000000000014, TT: 0, h: 1.0, FP: 417, FN: 0, FPR: 0.1880920162381597, FNR: 0.0
mod_value: 2.6000000000000014, TT: 0, h: 1.5, FP: 179, FN: 0, FPR: 0.09044972208185953, FNR: 0.0
mod_value: 2.6000000000000014, TT: 0, h: 2.0, FP: 115, FN: 0, FPR: 0.06005221932114883, FNR: 0.0
mod_value: 2.6000000000000014, TT: 0, h: 2.5, FP: 74, FN: 0, FPR: 0.03948772678762007, FNR: 0.0
mod_value: 2.6000000000000014, TT: 0, h: 3.0, FP: 50, FN: 0, FPR: 0.02702702702702703, FNR: 0.0
mod_value: 2.6000000000000014, TT: 0, h: 3.5, FP: 30, FN: 0, FPR: 0.01639344262295082, FNR: 0.0
mod_value: 2.6000000000000014, TT: 0, h: 4.0, FP: 21, FN: 0, FPR: 0.011532125205930808, FNR: 0.0
mod_value: 2.6000000000000014, TT: 0, h: 4.5, FP: 19, FN: 0, FPR: 0.010445299615173173, FNR: 0.0
mod_value: 2.6000000000000014, TT: 0, h: 5.0, FP: 16, FN: 0, FPR: 0.00881057268722467, FNR: 0.0
